avg	min	max
0.09	0.00	0.09
0.10	0.09	0.10
0.06	-0.01	0.00
0.05	-0.01	0.00
0.04	-0.01	0.00
0.03	-0.01	0.00
0.03	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	0.00	0.09
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	0.00	0.09
0.02	-0.01	0.00
0.02	0.09	0.10
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.10
0.03	0.00	0.09
0.03	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	0.00	0.09
0.02	-0.01	0.00
0.02	0.00	0.09
0.02	-0.01	0.00
0.02	0.00	0.09
0.02	-0.01	0.00
0.03	0.09	0.20
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	0.00	0.09
0.02	-0.01	0.00
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.01	-0.01	0.00
0.01	-0.01	0.00
0.01	-0.01	0.00
0.02	-0.01	0.10
0.02	-0.01	0.00
0.01	-0.01	0.00
0.01	-0.01	0.00
0.01	-0.01	0.00
0.02	0.09	0.20
0.02	-0.01	0.00
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.02	0.10
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	0.09	0.10
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.01	-0.01	0.00
0.02	0.00	0.09
0.01	-0.01	0.00
0.01	-0.01	0.10
0.01	-0.01	0.00
0.01	-0.01	0.00
0.02	0.00	0.09
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	0.00	0.09
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	0.09	0.10
0.02	-0.01	0.00
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	0.00	0.09
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	0.00	0.09
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	0.09	0.10
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	0.00	0.09
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	0.00	0.09
0.02	0.09	0.10
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.10
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	0.09	0.10
0.02	-0.01	0.00
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.10
0.02	0.09	0.10
0.02	-0.01	0.00
0.02	-0.01	0.10
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	0.09	0.10
0.02	-0.01	0.00
0.02	0.00	0.09
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.10
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
0.02	-0.01	0.00
